Sena Ayumu,86,154
Asagiri Akari,85,164
Natsume Yuuki,85,177
Asahina Akari,85,143
Miyabe Suzuka,84,119
Ayana Rina,84,189
Yabe Hisae,84,140
Rinne Touka,83,165
Mukai Ai,82,189
Arisawa Risa,82,201
Matsushima Reina,82,167
Sakai Chinami,81,129
Uchida Minako,81,135
Shiraishi Marina,80,90
Hagi Azusa,80,123
Wakana Nao,80,138
Ootsuka Saki,79,211
Touma Yuki,79,163
Morikawa Mau,79,86
Atomi Shuri,78,204
Harukaze Emi,78,107
Usa Miharu,78,83
Imai Mai,77,190
Akane Hotaru,77,259
Sonoda Mion,77,83
Murakami Risa,77,176
Hara Chihiro,77,250
Maika,77,230
Nagatsuki Ramu,77,90
Suzumiya Kotone,76,153
Aoyama Nana,76,318
Tsukada Shiori,75,158
Aida Nana,74,95
Yurai Chitose,74,142
Hosaka Eri,74,158
Nagisa Mitsuki,74,166
Matsu Sumire,74,210
Natsuki Anna,74,133
Natsume Iroha Hara Sarasa,73,30
Sakuragi Yukine,73,151
Momose Yuri,73,141
Ootsuka Ren,73,161
Usami Nana,73,167
Oohori Kana,73,173
Mihara Sakiko,73,107
Higuchi Saeko,73,93
Anoaruru,73,139
Hosokawa Mari,73,101
Shinomiya Yuri,72,191
Hoshikawa Maki,72,130
Arimoto Sayo,72,143
Mashiro An,72,236
Niiyama Kaede,72,164
Nishima Nami,72,156
Koike Emiko,72,131
Shiratori Misuzu,72,107
Hayashi Yuna,71,86
Konishi Marie,71,177
Hitzuki Rui,71,128
Kisaki Aya,70,134
Sasakura An,70,186
Akemi Kou,70,138
Nanami Yua,70,130
Takasugi Mari,70,190
Fukada Rina,70,96
Mizumi Saki,69,162
Isshiki Momoko,69,75
Ayase Meru,69,81
Aoi Chie,68,119
Sasaki Reuna,68,161
Tentsuki Kana,68,100
Aizawa Ruru,68,169
Kururigi Aoi,68,196
Yamaguchi Syuri,68,74
Horisaki Ria,68,89
Satou Ayu,67,130
Sasahara Yuri,67,162
Ryuu,67,117
Iori Ryouko,67,118
Takamiya Ryou,67,147
Kanou Ayako,66,156
Tomosaki Aki,66,88
Minamoto Miina,66,74
Uehara Karen,65,132
Suzumi Misa,65,150
Kashii Ria,65,106
Azuma Rin,65,79
Aizawa Yurina,65,135
Matsumoto Nanami,64,109
An Mitsuki,64,122
Jinguuji Nao,64,135
Yukimi Saya,64,173
Saeki Nana,64,131
Tia,64,118
Karin,64,73
Ogawa Rio,64,81
Uduki Mai,64,81
Mizukawa Nanako,64,67
Imai Mayumi,63,94
Kurokawa Kirara,63,68
Izumi Mana,63,135
Kai Miharu,63,87
Mikuriya Aoi,63,75
Hayakawa Serina,62,204
Yamase Miki,62,128
Suzuki Satomi,62,188
Tachibana Riko,62,161
Aisu Kokoa,61,166
Mizuhara Sana,61,147
Hayakawa Mizuki,61,116
Takarada Monami,61,132
Oosawa Mika,61,214
Hoshi Yuuno,61,139
Matsunaga Sana,60,93
Hinata Airi,60,147
Imai Yua,60,118
Yoshioka Nanako,60,81
Misato Arisa,60,63
Shinohara An,60,72
Konishi Yuu,59,98
Kawana Misuzu,59,129
Kinoshita Wakana,59,119
Tachibana Sakura,59,103
Yamai Suzu,59,103
Imai Kaho,59,132
Mizushima Ai,59,103
Suzuka Rin,59,94
Yoshitaka Nene,59,61
Mito Kana,59,64
Mochiduki Kana,59,121
Kikouden Misa,59,74
Kururugi Mikan,58,128
Julia,58,560
Aine Maria,58,68
Sana,58,127
Sakura Rio,58,116
Orihara Yukari,58,94
Hazuki Nanase,57,171
Kawana Minori,57,154
Namiki Touko,57,78
Ichikawa Masami,57,58
Hasegawa Rui,57,60
Satomi Yuria,57,345
Marika,57,161
Aoki Miku,57,99
Takeuchi Yuu,57,91
Tachibana Nao,57,114
Azumi Ren,57,107
Okina Anna,57,75
Tokona Yuwa,57,64
Hara Chitose,56,81
Shiratori Sumire,56,96
Usui Saryuu,56,155
Ninomiya Waka,56,133
Aoi Yurika,56,107
Saejima Kaori,56,83
Ayukawa Nao,56,229
Iwasa Mei,56,118
Sakuragi Rin,55,145
Amami Tsubasa,55,384
Hara Chigusa,55,138
Misaki Kanna,55,133
Mizutani Aoi,55,116
Kimura Narumi,55,103
Hinata Umi,55,113
Hashimoto Reika,55,76
Matsushita Saeko,55,97
Kisaki Yua,55,174
Kanzaki Reona,55,102
Mizumoto Yuuna,55,244
Kouda Riri,55,120
Niio Kiriko,55,79
Asai Maika,54,148
Hibino Satomi,54,89
Sazanami Aya,54,104
Miyazawa Yukari,54,131
Toda Makoto,54,55
Tsukino Risa,54,162
Momosaki Manami,54,104
Kitagawa Yuri,54,60
Matsumoto Mei,53,155
Hoshizaki Anri,53,121
Nagase Mami,53,70
Amemiya Maki,53,106
Kurosawa Nachi,53,66
Anju Sana,53,145
Meike Sayuri,53,82
Abe Mikako,52,203
Tsujimoto Ryou,52,119
Mutou Ayaka,52,94
Asou Misaki,52,108
Shiina Hikaru,52,97
Aoi Koharu,52,144
Aragaki Chie,52,82
Takanashi Ayumi,52,117
Akino Chihiro,52,99
Fujima Yukari,52,60
Toda Aira,52,66
